dates,volume,high,market-cap,close,open,low
20160925,33977800.0,603.38,9575360000.0,600.83,602.75,599.71
20160926,59153800.0,608.14,9545830000.0,608.04,600.81,600.35
20160927,49422400.0,608.25,9661590000.0,606.17,608.02,604.11
20160928,48722600.0,606.59,9634530000.0,604.73,606.24,604.61
20160929,55658600.0,606.82,9616160000.0,605.69,605.02,604.85
20170902,2722140000.0,4975.04,81060600000.0,4578.77,4901.42,4469.24
20170419,288061000.0,1215.51,19734800000.0,1210.29,1212.13,1205.08
20160818,59896600.0,577.79,9074760000.0,574.32,573.71,573.43
20160819,50631600.0,578.24,9085820000.0,575.63,574.34,574.18
20160814,60851100.0,585.67,9258730000.0,570.47,585.59,564.78
20160815,57262300.0,573.58,9021180000.0,567.24,570.49,563.24
20160816,58405200.0,581.74,8970770000.0,577.44,567.24,566.72
20160817,54443000.0,580.89,9138030000.0,573.22,577.76,571.43
20160810,102905000.0,599.98,9286960000.0,592.1,587.65,586.37
20160811,74514400.0,597.54,9358770000.0,589.12,592.12,589.12
20160812,69218000.0,589.91,9307250000.0,587.56,588.8,583.81
20160813,43563000.0,589.77,9285530000.0,585.59,587.36,584.98
20170901,2599080000.0,4892.01,77748400000.0,4892.01,4701.76,4678.53
20131130,0,1156.14,13614700000.0,1129.43,1129.37,1106.61
20140205,22395100.0,837.32,10254100000.0,811.91,829.96,811.91
20170909,1386230000.0,4308.82,70017200000.0,4226.06,4229.81,4114.11
20170908,2700890000.0,4661.0,76220200000.0,4228.75,4605.16,4075.18
20130718,0,98.8,1125660000.0,90.58,98.5,86.2
20130719,0,95.2,1029670000.0,92.17,90.07,87.8
20130712,0,104.0,1014640000.0,93.59,88.98,88.17
20130713,0,98.25,1072140000.0,98.13,93.99,88.06
20130710,0,87.0,874138000.0,86.76,76.72,76.2
20130711,0,90.28,1003090000.0,88.98,88.0,85.08
20130716,0,99.86,1129260000.0,97.45,98.89,96.14
20130717,0,99.97,1104760000.0,98.5,96.71,96.18
20130714,0,98.7,1126260000.0,94.69,98.7,92.86
20130715,0,101.9,1068520000.0,98.4,93.61,93.11
20171203,6608310000.0,11858.7,1.85258e+11,11323.2,11082.7,10862.0
20171202,5138500000.0,11320.2,1.8349e+11,11074.6,10978.3,10905.1
20171201,6783120000.0,11046.7,1.70436e+11,10975.6,10198.6,9694.65
20171207,17950700000.0,17899.7,2.386e+11,17899.7,14266.1,14057.3
20171206,12656300000.0,14369.1,1.9939e+11,14291.5,11923.4,11923.4
20171205,6895260000.0,12032.0,1.95389e+11,11916.7,11685.7,11604.6
20160108,56993000.0,462.93,6888600000.0,453.23,457.54,447.94
20160109,32278000.0,454.64,6828000000.0,447.61,453.38,446.89
20160106,34042500.0,431.86,6498830000.0,429.11,431.86,426.34
20160107,87562200.0,458.77,6472580000.0,458.05,430.01,429.08
20160104,38477500.0,434.52,6468180000.0,433.09,430.06,429.08
20160105,34522600.0,434.18,6515380000.0,431.96,433.07,429.68
20160102,30096600.0,436.06,6533630000.0,433.44,434.62,431.87
20160103,39633800.0,433.74,6519500000.0,430.01,433.58,424.71
20160101,36278900.0,436.25,6473530000.0,434.33,430.72,427.51
20170204,155064000.0,1045.9,16648800000.0,1042.9,1031.33,1015.16
20170205,114208000.0,1043.63,16847400000.0,1027.34,1043.52,1022.37
20170206,111762000.0,1044.64,16605400000.0,1038.15,1028.4,1028.16
20170207,146007000.0,1061.93,16796600000.0,1061.35,1040.14,1040.14
20170201,150110000.0,989.11,15667900000.0,989.02,970.94,970.74
20170202,145821000.0,1013.52,15977800000.0,1011.8,990.0,983.22
20170203,201278000.0,1033.87,16326100000.0,1029.91,1011.46,1008.79
20170208,201855000.0,1078.97,17156700000.0,1063.07,1062.32,1037.49
20170209,407220000.0,1088.99,17197100000.0,994.38,1064.7,953.34
20170518,894321000.0,1904.48,29710500000.0,1888.65,1818.7,1807.12
20170519,1157290000.0,2004.52,30999000000.0,1987.71,1897.37,1890.25
20140131,17107900.0,831.87,10092900000.0,829.92,818.43,812.6
20140130,29918200.0,830.5,10182900000.0,819.03,826.02,799.06
20170510,915723000.0,1788.44,28668100000.0,1787.13,1756.52,1719.1
20170511,799490000.0,1873.93,29060600000.0,1848.57,1780.37,1755.35
20170512,740984000.0,1856.15,30131100000.0,1724.24,1845.76,1694.01
20170513,579635000.0,1812.99,28132300000.0,1804.91,1723.12,1651.08
20170514,437196000.0,1831.42,29405100000.0,1808.91,1800.86,1776.62
20170515,731529000.0,1812.8,29532600000.0,1738.43,1808.44,1708.54
20170516,959045000.0,1785.94,28446300000.0,1734.45,1741.7,1686.54
20170517,1064730000.0,1864.05,28204800000.0,1839.09,1726.73,1661.91
20171108,4602200000.0,7776.42,1.19041e+11,7459.69,7141.38,7114.02
20171109,3226250000.0,7446.83,1.24146e+11,7143.58,7446.83,7101.52
20171101,2870320000.0,6767.31,1.07287e+11,6767.31,6440.97,6377.88
20171102,4653770000.0,7367.33,1.1291e+11,7078.5,6777.77,6758.72
20171103,3369860000.0,7461.29,1.18084e+11,7207.76,7087.53,7002.94
20171104,2483800000.0,7492.86,1.19376e+11,7379.95,7164.48,7031.28
20171105,2380410000.0,7617.48,1.23388e+11,7407.41,7404.52,7333.19
20171106,3111900000.0,7445.77,1.23379e+11,7022.76,7403.22,7007.31
20171107,2326340000.0,7253.32,1.17056e+11,7144.38,7023.1,7023.1
20140629,8897470.0,604.08,7728190000.0,602.72,596.33,596.16
20140628,13398100.0,604.47,7761630000.0,596.55,599.08,595.92
20140621,9256290.0,599.46,7672030000.0,594.99,593.68,587.74
20140620,18134100.0,599.75,7717370000.0,594.15,597.4,587.76
20140623,14053800.0,603.21,7787160000.0,593.98,602.16,586.34
20140622,10877700.0,606.0,7703560000.0,602.27,595.9,594.63
20140625,20687700.0,583.6,7529260000.0,566.34,581.81,565.63
20140624,14144900.0,596.97,7683850000.0,582.36,593.97,582.36
20140627,20814600.0,600.12,7527840000.0,597.26,581.3,579.88
20140626,14655900.0,581.63,7329110000.0,581.14,566.14,564.73
20140401,35685800.0,495.34,5752280000.0,478.38,457.0,457.0
20140403,40765500.0,449.56,5497550000.0,444.72,436.44,414.89
20140402,49647600.0,495.05,6032970000.0,437.14,479.14,431.27
20140405,13404500.0,463.57,5630890000.0,461.91,446.68,444.2
20140404,22925500.0,454.65,5615980000.0,447.53,445.66,429.09
20140407,15616600.0,462.56,5821160000.0,449.42,461.47,445.12
20140406,10241400.0,466.32,5843670000.0,460.5,463.4,452.97
20140409,13204400.0,455.73,5719730000.0,442.73,453.18,441.93
20140408,10921600.0,457.42,5648000000.0,453.09,447.61,446.11
20130921,0,128.61,1488870000.0,127.43,126.95,126.24
20140719,7222030.0,629.17,8201340000.0,628.51,629.17,624.6
20140718,14158100.0,629.21,8110060000.0,628.78,622.37,620.47
20130920,0,135.62,1520470000.0,127.04,129.7,126.68
20140715,10873200.0,625.14,8071770000.0,621.59,620.0,619.63
20140714,12706800.0,627.34,8155140000.0,619.32,626.56,617.32
20140717,16576700.0,626.29,8031440000.0,623.09,616.54,608.4
20140716,13182400.0,623.09,8100510000.0,616.8,622.01,615.33
20140711,16467100.0,632.09,8019000000.0,632.0,616.66,615.77
20140710,15880700.0,626.12,8122830000.0,616.76,624.83,612.35
20140713,11291000.0,634.73,8252240000.0,626.5,634.22,624.91
20140712,13329000.0,636.66,8219370000.0,633.71,631.88,626.98
20140226,64642700.0,603.8,6683680000.0,582.69,537.04,532.58
20140221,47308100.0,582.96,6918730000.0,574.16,556.88,530.47
20130924,0,127.46,1480210000.0,127.25,126.05,125.39
20130927,0,134.74,1516020000.0,133.78,128.94,128.49
20130926,0,134.93,1506920000.0,128.38,128.21,127.32
20140306,16068100.0,669.77,8291650000.0,663.86,664.52,649.79
20150413,31181800.0,236.94,3314280000.0,224.59,235.95,222.0
20150412,12387900.0,237.73,3321740000.0,236.15,236.53,233.5
20150411,16365200.0,239.54,3313620000.0,236.55,236.02,234.18
20150410,28882000.0,243.69,3420500000.0,236.07,243.69,232.77
20150417,20429800.0,228.91,3213910000.0,222.88,228.57,221.94
20150416,24805400.0,229.67,3147650000.0,228.57,223.92,223.92
20150415,22562000.0,223.83,3078890000.0,223.83,219.07,218.65
20150414,31719000.0,224.98,3157970000.0,219.16,224.76,216.32
20150419,15021500.0,226.35,3143460000.0,222.6,223.46,222.37
20150418,12939000.0,224.32,3134170000.0,223.36,222.85,220.88
20130525,0,133.22,1489950000.0,131.98,133.1,128.9
20130524,0,133.85,1413300000.0,133.2,126.3,125.72
20130527,0,135.47,1495520000.0,129.75,133.5,124.7
20130526,0,136.0,1478030000.0,133.48,131.99,130.62
20130521,0,123.0,1363940000.0,122.88,122.02,121.21
20130520,0,123.62,1368910000.0,122.0,122.5,120.12
20130523,0,126.93,1384780000.0,126.7,123.8,123.1
20130522,0,124.0,1374130000.0,123.89,122.89,122.0
20130529,0,132.59,1446190000.0,132.3,129.0,127.66
20130528,0,130.58,1454310000.0,129.0,129.77,125.6
20170322,380841000.0,1120.65,18187100000.0,1049.14,1120.65,1014.21
20160809,92228100.0,591.09,9339660000.0,587.8,591.04,584.79
20160808,61194100.0,592.99,9365440000.0,591.05,592.74,588.05
20160807,82398400.0,597.51,9285940000.0,592.69,587.77,586.82
20160806,80797300.0,588.4,9083510000.0,587.78,575.03,569.47
20160805,66127900.0,578.28,9133690000.0,575.04,578.28,569.98
20160804,125292000.0,579.5,8943870000.0,578.29,566.33,565.78
20160803,207982000.0,573.36,8663670000.0,566.36,548.66,541.55
20160802,330933000.0,612.85,9574320000.0,547.47,606.4,531.33
20160801,121887000.0,626.12,9860620000.0,606.27,624.6,605.88
20150619,23965300.0,250.98,3558500000.0,244.61,249.04,243.79
20130709,0,78.3,865585000.0,76.69,76.0,72.52
20130708,0,80.0,870912000.0,76.52,76.5,72.6
20130705,0,80.0,909526000.0,68.43,79.99,65.53
20130704,0,83.11,896693000.0,80.53,78.89,72.0
20130707,0,74.56,782352000.0,74.56,68.75,66.62
20130706,0,75.0,779255000.0,70.28,68.5,66.82
20130701,0,97.66,1107130000.0,88.05,97.51,86.3
20130703,0,90.98,1027160000.0,77.53,90.41,76.98
20130702,0,92.3,1000070000.0,90.13,88.05,87.51
20150618,30980200.0,252.11,3563010000.0,249.01,249.43,244.13
20160111,40450000.0,450.66,6761090000.0,448.43,448.7,443.86
20160110,35995900.0,448.31,6752210000.0,447.99,448.24,440.35
20160113,173888000.0,435.19,6553350000.0,432.37,434.67,424.44
20160112,115607000.0,448.18,6755220000.0,435.69,448.18,435.69
20160115,153351000.0,430.25,6489870000.0,364.33,430.25,364.33
20160114,43945500.0,433.32,6519110000.0,430.31,432.29,427.85
20160117,45319600.0,390.96,5842270000.0,382.3,387.15,380.09
20160116,120352000.0,390.56,5507790000.0,387.54,365.07,354.91
20160119,46819800.0,387.73,5843510000.0,380.15,387.03,378.97
20160118,54403900.0,388.1,5761940000.0,387.17,381.73,376.67
20170217,136474000.0,1053.17,16589600000.0,1046.21,1026.12,1025.64
20170216,122277000.0,1033.37,16289100000.0,1027.44,1007.65,1007.65
20170215,89759400.0,1008.84,16264100000.0,1007.48,1006.21,1001.58
20170214,137946000.0,1011.51,16028000000.0,1004.55,991.74,986.47
